FECHA HECHO;COD_DEPTO;DEPARTAMENTO;COD_MUNI;MUNICIPIO;CANTIDAD;AÑO;AÑO_MES;DIA;AÑO_SEMANA
2022-07-04;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-07;4;2022-W27
2022-07-08;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-07;8;2022-W27
2022-07-22;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-07;22;2022-W29
2022-07-31;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-07;31;2022-W31
2022-07-31;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-07;31;2022-W31
2022-07-31;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-07;31;2022-W31
2022-08-01;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-08;1;2022-W31
2022-08-03;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-08;3;2022-W31
2022-08-14;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-08;14;2022-W33
2022-08-19;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-08;19;2022-W33
2022-08-19;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-08;19;2022-W33
2022-09-05;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-09;5;2022-W36
2022-09-07;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-09;7;2022-W36
2022-09-23;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-09;23;2022-W38
2022-09-29;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-09;29;2022-W39
2022-10-02;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-10;2;2022-W40
2022-10-09;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-10;9;2022-W41
2022-10-11;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-10;11;2022-W41
2022-10-22;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-10;22;2022-W42
2022-10-22;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-10;22;2022-W42
2022-10-22;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-10;22;2022-W42
2022-11-03;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-11;3;2022-W44
2022-11-06;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-11;6;2022-W45
2022-11-06;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-11;6;2022-W45
2022-11-14;47;MAGDALENA;47001;SANTA MARTA;3;2022;2022-11;14;2022-W46
2022-11-14;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-11;14;2022-W46
2022-11-27;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-11;27;2022-W48
2022-11-27;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-11;27;2022-W48
2022-11-28;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-11;28;2022-W48
2022-12-03;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-12;3;2022-W48
2022-12-03;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-12;3;2022-W48
2022-12-03;47;MAGDALENA;47001;SANTA MARTA;3;2022;2022-12;3;2022-W48
2022-12-09;47;MAGDALENA;47001;SANTA MARTA;2;2022;2022-12;9;2022-W49
2022-12-12;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-12;12;2022-W50
2022-12-15;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-12;15;2022-W50
2022-12-15;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-12;15;2022-W50
2022-12-19;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-12;19;2022-W51
2022-12-26;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-12;26;2022-W52
