FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,CANTIDAD
26/06/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
02/07/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
03/07/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
03/07/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
04/07/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
04/07/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
09/07/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
10/07/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
19/07/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
23/07/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
25/07/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,2
25/07/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
30/07/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
01/08/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
01/08/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
09/08/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
22/08/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
23/08/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
03/09/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
05/09/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
10/09/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
10/09/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
10/09/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
16/09/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
17/09/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
24/09/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
24/09/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
28/09/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
28/09/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
28/09/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
28/09/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
28/09/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
28/09/2023,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1
