FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,CANTIDAD
15/12/2022,47,MAGDALENA,47001,SANTA MARTA,1
19/12/2022,47,MAGDALENA,47001,SANTA MARTA,1
26/12/2022,47,MAGDALENA,47001,SANTA MARTA,1
03/01/2023,47,MAGDALENA,47001,SANTA MARTA,1
11/01/2023,47,MAGDALENA,47001,SANTA MARTA,1
11/01/2023,47,MAGDALENA,47001,SANTA MARTA,1
12/01/2023,47,MAGDALENA,47001,SANTA MARTA,1
18/01/2023,47,MAGDALENA,47001,SANTA MARTA,1
18/01/2023,47,MAGDALENA,47001,SANTA MARTA,1
26/01/2023,47,MAGDALENA,47001,SANTA MARTA,1
31/01/2023,47,MAGDALENA,47001,SANTA MARTA,1
02/02/2023,47,MAGDALENA,47001,SANTA MARTA,1
04/02/2023,47,MAGDALENA,47001,SANTA MARTA,1
04/02/2023,47,MAGDALENA,47001,SANTA MARTA,1
06/02/2023,47,MAGDALENA,47001,SANTA MARTA,1
12/02/2023,47,MAGDALENA,47001,SANTA MARTA,1
13/02/2023,47,MAGDALENA,47001,SANTA MARTA,1
15/02/2023,47,MAGDALENA,47001,SANTA MARTA,1
27/02/2023,47,MAGDALENA,47001,SANTA MARTA,1
27/02/2023,47,MAGDALENA,47001,SANTA MARTA,1
28/02/2023,47,MAGDALENA,47001,SANTA MARTA,1
04/03/2023,47,MAGDALENA,47001,SANTA MARTA,1
14/03/2023,47,MAGDALENA,47001,SANTA MARTA,1
25/03/2023,47,MAGDALENA,47001,SANTA MARTA,1
28/03/2023,47,MAGDALENA,47001,SANTA MARTA,1
02/04/2023,47,MAGDALENA,47001,SANTA MARTA,1
02/04/2023,47,MAGDALENA,47001,SANTA MARTA,1
09/04/2023,47,MAGDALENA,47001,SANTA MARTA,1
13/04/2023,47,MAGDALENA,47001,SANTA MARTA,1
17/04/2023,47,MAGDALENA,47001,SANTA MARTA,1
17/04/2023,47,MAGDALENA,47001,SANTA MARTA,1
19/04/2023,47,MAGDALENA,47001,SANTA MARTA,1
23/04/2023,47,MAGDALENA,47001,SANTA MARTA,1
28/04/2023,47,MAGDALENA,47001,SANTA MARTA,2
29/04/2023,47,MAGDALENA,47001,SANTA MARTA,1
05/05/2023,47,MAGDALENA,47001,SANTA MARTA,1
05/05/2023,47,MAGDALENA,47001,SANTA MARTA,1
12/05/2023,47,MAGDALENA,47001,SANTA MARTA,1
15/05/2023,47,MAGDALENA,47001,SANTA MARTA,1
17/05/2023,47,MAGDALENA,47001,SANTA MARTA,1
17/05/2023,47,MAGDALENA,47001,SANTA MARTA,1
17/05/2023,47,MAGDALENA,47001,SANTA MARTA,1
21/05/2023,47,MAGDALENA,47001,SANTA MARTA,1
21/05/2023,47,MAGDALENA,47001,SANTA MARTA,1
31/05/2023,47,MAGDALENA,47001,SANTA MARTA,1
07/06/2023,47,MAGDALENA,47001,SANTA MARTA,1
07/06/2023,47,MAGDALENA,47001,SANTA MARTA,1
17/06/2023,47,MAGDALENA,47001,SANTA MARTA,1
18/06/2023,47,MAGDALENA,47001,SANTA MARTA,1
23/06/2023,47,MAGDALENA,47001,SANTA MARTA,1
24/06/2023,47,MAGDALENA,47001,SANTA MARTA,1
26/06/2023,47,MAGDALENA,47001,SANTA MARTA,1
27/06/2023,47,MAGDALENA,47001,SANTA MARTA,1
27/06/2023,47,MAGDALENA,47001,SANTA MARTA,1
02/07/2023,47,MAGDALENA,47001,SANTA MARTA,1
02/07/2023,47,MAGDALENA,47001,SANTA MARTA,1
04/07/2023,47,MAGDALENA,47001,SANTA MARTA,1
09/07/2023,47,MAGDALENA,47001,SANTA MARTA,1
16/07/2023,47,MAGDALENA,47001,SANTA MARTA,1
17/07/2023,47,MAGDALENA,47001,SANTA MARTA,1
22/07/2023,47,MAGDALENA,47001,SANTA MARTA,2
22/07/2023,47,MAGDALENA,47001,SANTA MARTA,1
28/07/2023,47,MAGDALENA,47001,SANTA MARTA,1
31/07/2023,47,MAGDALENA,47001,SANTA MARTA,1
03/08/2023,47,MAGDALENA,47001,SANTA MARTA,1
04/08/2023,47,MAGDALENA,47001,SANTA MARTA,1
06/08/2023,47,MAGDALENA,47001,SANTA MARTA,1
28/08/2023,47,MAGDALENA,47001,SANTA MARTA,1
31/08/2023,47,MAGDALENA,47001,SANTA MARTA,1
01/09/2023,47,MAGDALENA,47001,SANTA MARTA,1
01/09/2023,47,MAGDALENA,47001,SANTA MARTA,1
04/09/2023,47,MAGDALENA,47001,SANTA MARTA,1
08/09/2023,47,MAGDALENA,47001,SANTA MARTA,1
08/09/2023,47,MAGDALENA,47001,SANTA MARTA,1
22/09/2023,47,MAGDALENA,47001,SANTA MARTA,1
24/09/2023,47,MAGDALENA,47001,SANTA MARTA,1
24/09/2023,47,MAGDALENA,47001,SANTA MARTA,1
30/09/2023,47,MAGDALENA,47001,SANTA MARTA,1
30/09/2023,47,MAGDALENA,47001,SANTA MARTA,1
